runAt,commit,matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg,chunksFailed,chunksSkipped,chunksMax
2026-09-15T01:08,9128aa9,M3,"waterBodies upstream waterBodies [ME]",waterBodies,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,22484,6504,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"waterBodies upstream wells [ME]",waterBodies,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,27243,51437,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"waterBodies upstream aquifers [ME]",waterBodies,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,15010,4764,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"wells upstream samples [ME]",wells,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,45085,3221,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"wells upstream facilities [ME]",wells,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,272145,2812,0,ok,"",0,0,16
2026-09-15T01:08,9128aa9,M3,"wells upstream waterBodies [ME]",wells,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,290678,6466,0,ok-partial,"",1,0,16
2026-09-15T01:08,9128aa9,M3,"wells upstream wells [ME]",wells,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,success,343277,32973,0,ok-partial,"",1,6,16
2026-09-15T01:08,9128aa9,M3,"wells upstream aquifers [ME]",wells,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,success,307068,4768,0,ok,"",0,0,16
2026-09-15T01:08,9128aa9,M3,"aquifers upstream samples [ME]",aquifers,upstream,,samples,ME,"none",FIND_TARGET_IRIS,engine,success,24929,2935,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"aquifers upstream facilities [ME]",aquifers,upstream,,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,18398,1919,0,ok,"",0,0,0
2026-09-15T01:08,9128aa9,M3,"aquifers upstream waterBodies [ME]",aquifers,upstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,error,1063826,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,16
2026-09-15T01:08,9128aa9,M3,"aquifers upstream wells [ME]",aquifers,upstream,,wells,ME,"none",FIND_TARGET_IRIS,engine,error,986071,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,0
2026-09-15T01:08,9128aa9,M3,"aquifers upstream aquifers [ME]",aquifers,upstream,,aquifers,ME,"none",FIND_TARGET_IRIS,engine,error,1076740,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,0
2026-09-15T03:37,9128aa9,M4,"samples near(0) facilities [ME]",samples,near,0,facilities,ME,"none",FIND_TARGET_IRIS,engine,error,1347976,0,0,failed,"SPARQL timeout (0): No response within 60s",0,0,0
2026-09-15T03:37,9128aa9,M4,"samples near(0) wells [ME]",samples,near,0,wells,ME,"none",FIND_TARGET_IRIS,engine,success,2813,3254,0,ok,"",0,0,0
2026-09-15T03:37,9128aa9,M4,"wells near(0) facilities [ME]",wells,near,0,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,1107,5462,0,ok,"",0,0,0
2026-09-15T03:37,9128aa9,M4,"waterBodies near(0) facilities [ME]",waterBodies,near,0,facilities,ME,"none",FIND_TARGET_IRIS,engine,success,507,352,0,ok,"",0,0,0
2026-09-15T03:37,9128aa9,M4,"samples near(0) waterBodies [ME]",samples,near,0,waterBodies,ME,"none",FIND_TARGET_IRIS,engine,success,639,709,0,ok,"",0,0,0
