matrix,label,blockA,rel,hops,blockC,region,filters,step,endpoint,status,ms,rows,bytes,errorClass,errorMsg
M2,"waterBodies downstream facilities [ME]",waterBodies,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,429,32300,0,128874,timeout-30s,"Operation timed out. Last operation: Join on ?ds_flowline"
M2,"waterBodies downstream waterBodies [ME]",waterBodies,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,200,28605,6095,474989,ok,""
M2,"waterBodies downstream wells [ME]",waterBodies,downstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,32946,0,96493,timeout-30s,"Operation timed out. Last operation: Sort (internal order) on ?iri"
M2,"waterBodies downstream aquifers [ME]",waterBodies,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,500,30067,0,107391,engine-oom,"Tried to allocate 3.2 GB, but only 2.4 GB were available"
M2,"wells downstream samples [ME]",wells,downstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,24164,28920,2755971,ok,""
M2,"wells downstream facilities [ME]",wells,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,429,30254,0,111623,timeout-30s,"Operation timed out. Last operation: Join on ?s2neighbor"
M2,"wells downstream waterBodies [ME]",wells,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,429,30674,0,107879,timeout-30s,"Operation timed out. Last operation: Join on ?upstream_flowline"
M2,"wells downstream wells [ME]",wells,downstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,30710,0,101622,timeout-30s,"Operation timed out. Last operation: Join on ?upstream_flowline"
M2,"wells downstream aquifers [ME]",wells,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,500,35284,0,111872,engine-oom,"Tried to allocate 3.2 GB, but only 2.2 GB were available"
M2,"aquifers downstream samples [ME]",aquifers,downstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,13024,2599,254752,ok,""
M2,"aquifers downstream facilities [ME]",aquifers,downstream,,facilities,ME,"none",FIND_TARGET_IRIS,federation,200,28381,3242,317766,ok,""
M2,"aquifers downstream waterBodies [ME]",aquifers,downstream,,waterBodies,ME,"none",FIND_TARGET_IRIS,federation,500,31856,0,104395,engine-oom,"Tried to allocate 1.6 GB, but only 949.9 MB were available"
M2,"aquifers downstream wells [ME]",aquifers,downstream,,wells,ME,"none",FIND_TARGET_IRIS,federation,429,30847,0,98415,timeout-30s,"Operation timed out. Last operation: Join on ?upstream_flowline"
M2,"aquifers downstream aquifers [ME]",aquifers,downstream,,aquifers,ME,"none",FIND_TARGET_IRIS,federation,500,30922,0,108665,engine-oom,"Tried to allocate 1.6 GB, but only 1.5 GB were available"
M3,"samples upstream samples [ME]",samples,upstream,,samples,ME,"none",FIND_TARGET_IRIS,federation,200,13108,3221,320942,ok,""
